channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,650,[ 7  8  9 10 11 12],[6. 5. 4. 3. 2. 1.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,405
bit2,RS0083,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,560,[13 14 15 16 17 18],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,405
bit3,RS0095,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,[1 2 3 4 5 6],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,405
bit4,RS0109,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,650,[ 7  8  9 10 11 12],[6. 5. 4. 3. 2. 1.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,405
bit5,RS0175,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,560,[13 14 15 16 17 18],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,405
bit6,RS0237,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,[1 2 3 4 5 6],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,405
bit7,RS0247,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,[ 7  8  9 10 11 12],[6. 5. 4. 3. 2. 1.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,405
bit8,RS0255,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,560,[13 14 15 16 17 18],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,405
bit9,RS0307,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,2,750,[1 2 3 4 5 6],[1. 2. 3. 4. 5. 6.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,405
bit10,RS0332,Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,[ 7  8  9 10 11 12],[6. 5. 4. 3. 2. 1.],Hal_config_750s6_650s6_560s6_488s1_405s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,405
