channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,RS0015,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,405
bit2,RS0083,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,0,405
bit3,RS0095,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,405
bit4,RS0109,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,405
bit5,RS0175,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,2,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,405
bit6,RS0237,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,2,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,405
bit7,RS0247,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,3,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,405
bit8,RS0255,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,3,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,405
bit9,RS0307,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,4,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,405
bit10,RS0332,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,4,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,405
bit11,RS0343,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,5,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,405
bit12,RS0384,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,5,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,0,405
bit13,RS0406,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,6,650,[ 1 3 5 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,0,405
bit14,RS0451,Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,6,560,[ 2 4 6 ],[ 1 2 3 ],Disk-650s3-560s3-405s1-1000ms-part1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,0,405
